piece,passage_id,cohort,method,title_similarity
351,cmu1ovn9l005k04ldu5kwxv0j,workbook,position,1.0
352,cmu1ovnck005l04ld5dwqcifw,workbook,position,1.0
353,cmu1ovnea005m04ldojo11ft8,workbook,position,1.0
354,cmu1ovngf005n04ld2sevwd08,workbook,position,1.0
355,cmu1ovni8005o04ldmk3h2pej,workbook,position,1.0
356,cmu1ovnku005p04ldq02ghye3,workbook,position,1.0
357,cmu1ovnmj005q04ldsb0krso6,workbook,position,1.0
358,cmu1ovnp0005r04ldt0jddvji,workbook,position,1.0
359,cmu1ovnr1005s04ldd5l7dvly,workbook,position,1.0
360,cmu1ovnsp005t04ldd6g483ri,workbook,position,1.0
361,cmu1ovnus005u04ldlqwwkjhg,workbook,position,1.0
362,cmu1ovnwg005v04ld0j06fnku,workbook,position,1.0
363,cmu1ovnya005w04ldvkeailw9,workbook,position,1.0
364,cmu1ovo00005x04ldreaem47f,workbook,position,1.0
365,cmu1ovo25005y04ldp6gxwab4,workbook,position,1.0
366,cmu1ovo40005z04ldxppi2zgh,workbook,position,1.0
367,cmu1ovo5p006004ldpgilrbrw,workbook,position,1.0
368,cmu1ovo7w006104ldvxpyqi8b,workbook,position,1.0
369,cmu1ovo9p006204ldqn2c41a9,workbook,position,1.0
370,cmu1ovoby006304ld5bumas3b,workbook,position,1.0
371,cmu1ovoe3006404ldbeqq31gt,workbook,position,1.0
372,cmu1ovog5006504lds572o8ux,workbook,position,1.0
373,cmu1ovohw006604ldaasl8irx,workbook,position,1.0
374,cmu1ovok1006704ld13s4rvvy,workbook,position,1.0
375,cmu1ovolx006804ld7s77valj,workbook,position,1.0
376,cmu1ovonx006904ld2tcdt0eu,workbook,position,1.0
377,cmu1ovoq8006a04ld72kdkqo0,workbook,position,1.0
378,cmu1ovot9006b04ldfyohkln8,workbook,position,1.0
379,cmu1ovovg006c04ldquese4bu,workbook,position,1.0
380,cmu1ovoxq006d04ldpoo6i0qd,workbook,position,1.0
381,cmu1ovozq006e04ld8kze2e5a,workbook,position,1.0
382,cmu1ovp21006f04ld68ly5a76,workbook,position,1.0
383,cmu1ovp3p006g04ldbbbgxdv7,workbook,position,1.0
384,cmu1ovp5e006h04ldwjzr3usb,workbook,position,1.0
385,cmu1ovp7c006i04ld2jt486el,workbook,position,1.0
386,cmu1ovp9f006j04ldg62oizbu,workbook,position,1.0
387,cmu1ovpb5006k04ldc9jz8wn6,workbook,position,1.0
388,cmu1ovpdh006l04ldxdn2m3o2,workbook,position,1.0
389,cmu1ovpfh006m04ldpnrjmnxw,workbook,position,1.0
390,cmu1ovpho006n04ld7rkcljlc,workbook,position,1.0
391,cmu1ovpjg006o04ldkzunmh16,workbook,position,1.0
392,cmu1ovpli006p04ldw054yvn9,workbook,position,1.0
393,cmu1ovpnd006q04ldaeavvikg,workbook,position,1.0
394,cmu1ovpp7006r04ldnd4hghvm,workbook,position,1.0
395,cmu1ovpqv006s04ldfk125ko1,workbook,position,1.0
396,cmu1ovpso006t04ldnvsj4kob,workbook,position,1.0
397,cmu1ovpum006u04ld8rwesxqx,workbook,position,1.0
398,cmu1ovpxo006v04ldlthhn8b9,workbook,position,1.0
399,cmu1ovpzp006w04ld0pqhg4ts,workbook,position,1.0
400,cmu1ovq1f006x04ldysar1ma3,workbook,position,1.0
401,cmu1ovq3l006y04ldfmmn8j20,workbook,position,1.0
402,cmu1ovq5d006z04ld88pxzq1t,workbook,position,1.0
403,cmu1ovq78007004ldoj92o7c1,workbook,position,1.0
404,cmu1ovq9f007104ldz8s2n43k,workbook,position,1.0
405,cmu1ovqcy007204ldsso0q7i6,workbook,position,1.0
406,cmu1ovqeu007304ldd3r0k1l9,workbook,position,1.0
407,cmu1ovqgy007404ld3t2rm3rf,workbook,position,1.0
408,cmu1ovqj2007504ldp2xur6a2,workbook,position,1.0
409,cmu1ovqkw007604lddrpicvjt,workbook,position,1.0
410,cmu1ovqp3007704ldra4mglxy,workbook,position,1.0
411,cmu1ovqsa007804ldmwg93a8c,workbook,position,1.0
412,cmu1ovqu5007904lddz9vbq5p,workbook,position,1.0
413,cmu1ovqw5007a04ldsc49qrot,workbook,position,1.0
414,cmu1ovqyx007b04ldvpugrdu3,workbook,position,1.0
415,cmu1ovr0p007c04ldwrqkap3r,workbook,position,1.0
416,cmu1ovr2s007d04ld218xevs0,workbook,position,1.0
417,cmu1ovr4z007e04ldiw62fq2o,workbook,position,1.0
